image_path,x_norm,y_norm
datasets/dataset_labeled_4_fast/1652875901.3107166_0596.jpg,0.529375,0.368612
datasets/dataset_labeled_4_fast/1652959186.4507334_0817.jpg,0.071074,0.561127
datasets/dataset_labeled_4_fast/1653043428.8546412_0497.jpg,0.69172,0.404529
datasets/dataset_labeled_4_fast/1652876206.2541456_0754.jpg,0.463288,0.46918
datasets/dataset_labeled_4_fast/1652876206.2541456_0457.jpg,0.125668,0.439009
datasets/dataset_labeled_4_fast/1652959347.972946_0362.jpg,0.677353,0.474926
datasets/dataset_labeled_4_fast/1652876206.2541456_0010.jpg,0.645746,0.381542
datasets/dataset_labeled_4_fast/1652876485.8123376_0320.jpg,0.898602,0.519463
datasets/dataset_labeled_4_fast/1652875901.3107166_0598.jpg,0.573912,0.436136
datasets/dataset_labeled_4_fast/1652959347.972946_0397.jpg,0.493458,0.370049
datasets/dataset_labeled_4_fast/1652959186.4507334_0668.jpg,0.493458,0.397346
datasets/dataset_labeled_4_fast/1652876485.8123376_0062.jpg,0.772174,0.46918
datasets/dataset_labeled_4_fast/1652876485.8123376_0676.jpg,0.408694,0.444756
datasets/dataset_labeled_4_fast/1652876206.2541456_0370.jpg,0.486274,0.367175
datasets/dataset_labeled_4_fast/1653043345.3415065_0431.jpg,0.38427,0.522337
datasets/dataset_labeled_4_fast/1653042775.5213027_0020.jpg,0.448921,0.404529
datasets/dataset_labeled_4_fast/1652875901.3107166_0302.jpg,0.515008,0.357119
datasets/dataset_labeled_4_fast/1652876013.741493_0126.jpg,0.779357,0.509407
datasets/dataset_labeled_4_fast/1653043202.5073502_0416.jpg,0.288013,0.556817
datasets/dataset_labeled_4_fast/1653042695.4914637_0430.jpg,0.787977,0.562564
datasets/dataset_labeled_4_fast/1653043202.5073502_0307.jpg,0.33255,0.359992
datasets/dataset_labeled_4_fast/1653043202.5073502_0596.jpg,0.703213,0.441883
datasets/dataset_labeled_4_fast/1652876485.8123376_0871.jpg,0.77361,0.484983
datasets/dataset_labeled_4_fast/1652876013.741493_0247.jpg,0.525065,0.368612
datasets/dataset_labeled_4_fast/1652876485.8123376_0662.jpg,0.390017,0.443319
datasets/dataset_labeled_4_fast/1653043428.8546412_0403.jpg,0.026537,0.734965
datasets/dataset_labeled_4_fast/1653043428.8546412_0251.jpg,0.351227,0.417459
datasets/dataset_labeled_4_fast/1653043428.8546412_0609.jpg,0.576785,0.426079
datasets/dataset_labeled_4_fast/1652959347.972946_0209.jpg,0.902912,0.505097
datasets/dataset_labeled_4_fast/1652959186.4507334_0601.jpg,0.479091,0.341315
datasets/dataset_labeled_4_fast/1652959186.4507334_0517.jpg,0.325366,0.414586
datasets/dataset_labeled_4_fast/1652959347.972946_0393.jpg,0.549488,0.361429
datasets/dataset_labeled_4_fast/1653043345.3415065_0079.jpg,0.121358,0.576931
datasets/dataset_labeled_4_fast/1653042695.4914637_0266.jpg,0.647183,0.370049
datasets/dataset_labeled_4_fast/1652875901.3107166_0542.jpg,0.474781,0.47349
datasets/dataset_labeled_4_fast/1652876206.2541456_0722.jpg,0.423061,0.454813
datasets/dataset_labeled_4_fast/1653043202.5073502_0626.jpg,0.305253,0.401656
datasets/dataset_labeled_4_fast/1652876485.8123376_0927.jpg,0.502078,0.372922
datasets/dataset_labeled_4_fast/1653042695.4914637_0478.jpg,0.933082,0.595607
datasets/dataset_labeled_4_fast/1653043202.5073502_0733.jpg,0.901475,0.502223
datasets/dataset_labeled_4_fast/1653042775.5213027_0039.jpg,0.191755,0.526647
datasets/dataset_labeled_4_fast/1652876206.2541456_0582.jpg,0.309563,0.364302
datasets/dataset_labeled_4_fast/1652876485.8123376_0938.jpg,0.171642,0.585551
datasets/dataset_labeled_4_fast/1652875901.3107166_0449.jpg,0.477654,0.421769
datasets/dataset_labeled_4_fast/1652876485.8123376_0461.jpg,0.520755,0.344188
datasets/dataset_labeled_4_fast/1653043345.3415065_0480.jpg,0.322493,0.395909
datasets/dataset_labeled_4_fast/1652876485.8123376_0677.jpg,0.400074,0.427516
datasets/dataset_labeled_4_fast/1653043202.5073502_0500.jpg,0.321056,0.381542
datasets/dataset_labeled_4_fast/1652876485.8123376_0460.jpg,0.506388,0.380105
datasets/dataset_labeled_4_fast/1653043428.8546412_0498.jpg,0.73482,0.500787
datasets/dataset_labeled_4_fast/1652876206.2541456_0381.jpg,0.522191,0.358555
datasets/dataset_labeled_4_fast/1653043202.5073502_0320.jpg,0.497768,0.380105
datasets/dataset_labeled_4_fast/1653043345.3415065_0118.jpg,0.523628,0.390162
datasets/dataset_labeled_4_fast/1652876485.8123376_0186.jpg,0.101244,0.539577
datasets/dataset_labeled_4_fast/1652876485.8123376_0384.jpg,0.493458,0.367175
datasets/dataset_labeled_4_fast/1653043202.5073502_0335.jpg,0.41875,0.51228
datasets/dataset_labeled_4_fast/1653042695.4914637_0471.jpg,0.266462,0.502223
datasets/dataset_labeled_4_fast/1653043428.8546412_0174.jpg,0.194628,0.454813
datasets/dataset_labeled_4_fast/1653043202.5073502_0575.jpg,0.061017,0.579804
datasets/dataset_labeled_4_fast/1652875901.3107166_0088.jpg,0.483401,0.361429
datasets/dataset_labeled_4_fast/1652959347.972946_0341.jpg,0.519318,0.375795
datasets/dataset_labeled_4_fast/1653043428.8546412_0469.jpg,0.529375,0.407402
datasets/dataset_labeled_4_fast/1653043202.5073502_0616.jpg,0.006423,0.733529
datasets/dataset_labeled_4_fast/1652959347.972946_0506.jpg,0.453231,0.497913
