image_path,x_norm,y_norm
dataset_self_made_2/1652876485.8123376_0187.jpg,0.122794,0.693302
dataset_self_made_2/1652876013.741493_0221.jpg,0.568165,0.641581
dataset_self_made_2/1653043345.3415065_0297.jpg,0.69603,0.548197
dataset_self_made_2/1652875851.3497071_0192.jpg,0.387144,0.643018
dataset_self_made_2/1652876013.741493_0465.jpg,0.793724,0.676062
dataset_self_made_2/1652876013.741493_0477.jpg,0.645746,0.663131
dataset_self_made_2/1652876013.741493_0291.jpg,0.522191,0.535267
dataset_self_made_2/1652959186.4507334_0783.jpg,0.41875,0.617158
dataset_self_made_2/1653043345.3415065_0390.jpg,0.506388,0.55969
dataset_self_made_2/1653042775.5213027_0332.jpg,0.558108,0.611411
dataset_self_made_2/1652876206.2541456_0547.jpg,0.588279,0.594171
dataset_self_made_2/1652876485.8123376_0735.jpg,0.555235,0.54245
dataset_self_made_2/1652959347.972946_0232.jpg,0.203248,0.671751
dataset_self_made_2/1652876485.8123376_0077.jpg,0.677353,0.575494
dataset_self_made_2/1652875901.3107166_0234.jpg,0.157275,0.651638
dataset_self_made_2/1652959347.972946_0630.jpg,0.504951,0.578367
dataset_self_made_2/1653043202.5073502_0733.jpg,0.912968,0.673188
dataset_self_made_2/1652876485.8123376_0325.jpg,0.710396,0.594171
dataset_self_made_2/1652959186.4507334_0801.jpg,0.7693,0.653075
dataset_self_made_2/1652959186.4507334_0810.jpg,0.724763,0.615721
dataset_self_made_2/1653043428.8546412_0632.jpg,0.441737,0.55107
dataset_self_made_2/1652875901.3107166_0355.jpg,0.280829,0.589861
dataset_self_made_2/1653042695.4914637_0176.jpg,0.31962,0.561127
dataset_self_made_2/1652876206.2541456_0292.jpg,0.433117,0.50797
dataset_self_made_2/1652959347.972946_0037.jpg,0.545178,0.510843
dataset_self_made_2/1652876485.8123376_0075.jpg,0.641436,0.5209
dataset_self_made_2/1652876206.2541456_0572.jpg,0.094061,0.664568
dataset_self_made_2/1653042775.5213027_0257.jpg,0.368467,0.572621
dataset_self_made_2/1653042695.4914637_0210.jpg,0.885671,0.713415
dataset_self_made_2/1652876206.2541456_0049.jpg,0.627069,0.530957
dataset_self_made_2/1652876206.2541456_0483.jpg,0.573912,0.55969
dataset_self_made_2/1652876485.8123376_0546.jpg,0.887108,0.716289
dataset_self_made_2/1652876485.8123376_0147.jpg,0.302379,0.595607
dataset_self_made_2/1653043202.5073502_0741.jpg,0.993422,0.769446
dataset_self_made_2/1652876485.8123376_0202.jpg,0.891418,0.671751
dataset_self_made_2/1652876206.2541456_0719.jpg,0.795161,0.663131
dataset_self_made_2/1652959186.4507334_0232.jpg,0.502078,0.599917
dataset_self_made_2/1652876485.8123376_0631.jpg,0.71327,0.618594
dataset_self_made_2/1653043428.8546412_0116.jpg,0.565292,0.625778
dataset_self_made_2/1652959186.4507334_0797.jpg,0.688846,0.660258
dataset_self_made_2/1653043345.3415065_0439.jpg,0.171642,0.749332
dataset_self_made_2/1652876485.8123376_0644.jpg,0.877051,0.716289
dataset_self_made_2/1652875851.3497071_0134.jpg,0.559545,0.54245
