uuid,timestamp,left_wheel,right_wheel
6124b714-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.146658,4.425116350041946e-06,1.6784924086366006e-06
61276e46-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.158243,4.425116350041946e-06,1.6784924086366006e-06
612ac8de-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.180276,4.425116350041946e-06,1.6784924086366006e-06
612d64e0-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.197303,4.425116350041946e-06,1.6784924086366006e-06
612fde82-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.213745,4.425116350041946e-06,1.6784924086366006e-06
61334612-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.235976,4.425116350041946e-06,1.6784924086366006e-06
6144bc12-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.350331,4.425116350041946e-06,1.6784924086366006e-06
614d7910-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.407591,4.425116350041946e-06,1.6784924086366006e-06
61687ec2-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.598105,4.425116350041946e-06,1.6784924086366006e-06
616cbd7a-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.612474,4.425116350041946e-06,1.6784924086366006e-06
6171da58-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.646045,4.425116350041946e-06,1.6784924086366006e-06
617716c6-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.680476,4.425116350041946e-06,1.6784924086366006e-06
6179506c-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.694885,4.425116350041946e-06,1.6784924086366006e-06
617c2b8e-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.713712,4.425116350041946e-06,1.6784924086366006e-06
61986cc2-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.908408,4.425116350041946e-06,1.6784924086366006e-06
619e5e0c-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:03.940736,4.425116350041946e-06,1.6784924086366006e-06
672d3c30-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.262822,0.1643529411764706,0.23564705882352943
672f4e4e-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.276212,0.1643529411764706,0.23564705882352943
67382456-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.334141,0.1643529411764706,0.23564705882352943
673e502e-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.377856,0.1643529411764706,0.23564705882352943
67427b18-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.402043,0.1643529411764706,0.23564705882352943
67464c8e-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:13.426956,0.1643529411764706,0.23564705882352943
69f2a536-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:17.911854,0.2000013733119707,0.1999986266880293
69f754d2-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:17.945588,0.2000013733119707,0.1999986266880293
6a9a84c2-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.012162,0.2000013733119707,0.1999986266880293
6a9c9a28-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.047503,0.2000013733119707,0.1999986266880293
6aa678b8-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.092483,0.2000013733119707,0.1999986266880293
6aa9a664-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.111252,0.2000013733119707,0.1999986266880293
6aaba22a-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.124157,0.2000013733119707,0.1999986266880293
6aae1654-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:19.140580,0.2000013733119707,0.1999986266880293
6d754c40-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:23.809959,0.29000000000000004,0.11000000000000001
6d7c55e4-494a-11f1-83c5-16f63a1aa8c9,2026-05-06T05:52:23.848085,0.29000000000000004,0.11000000000000001
